Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007
"295101268004","15000US295101268004","Block Group 4, Census Tract 1268, St. Louis city, Missouri","Block Group 4, Census Tract 1268, St. Louis city, Missouri","mo","150","00","ACSSF","0010206",,,,,"29","510",,,,"126800","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,438,0,438,420,18,123
"295101269001","15000US295101269001","Block Group 1, Census Tract 1269, St. Louis city, Missouri","Block Group 1, Census Tract 1269, St. Louis city, Missouri","mo","150","00","ACSSF","0010207",,,,,"29","510",,,,"126900","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,418,0,418,315,103,307
"295101269002","15000US295101269002","Block Group 2, Census Tract 1269, St. Louis city, Missouri","Block Group 2, Census Tract 1269, St. Louis city, Missouri","mo","150","00","ACSSF","0010208",,,,,"29","510",,,,"126900","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,320,0,320,247,73,141
"295101269003","15000US295101269003","Block Group 3, Census Tract 1269, St. Louis city, Missouri","Block Group 3, Census Tract 1269, St. Louis city, Missouri","mo","150","00","ACSSF","0010209",,,,,"29","510",,,,"126900","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,287,0,287,193,94,397
"295101269004","15000US295101269004","Block Group 4, Census Tract 1269, St. Louis city, Missouri","Block Group 4, Census Tract 1269, St. Louis city, Missouri","mo","150","00","ACSSF","0010210",,,,,"29","510",,,,"126900","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,330,0,330,131,199,225
"295101269005","15000US295101269005","Block Group 5, Census Tract 1269, St. Louis city, Missouri","Block Group 5, Census Tract 1269, St. Louis city, Missouri","mo","150","00","ACSSF","0010211",,,,,"29","510",,,,"126900","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,160,0,160,109,51,177
"295101269006","15000US295101269006","Block Group 6, Census Tract 1269, St. Louis city, Missouri","Block Group 6, Census Tract 1269, St. Louis city, Missouri","mo","150","00","ACSSF","0010212",,,,,"29","510",,,,"126900","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,262,0,262,201,61,195
"295101270001","15000US295101270001","Block Group 1, Census Tract 1270, St. Louis city, Missouri","Block Group 1, Census Tract 1270, St. Louis city, Missouri","mo","150","00","ACSSF","0010213",,,,,"29","510",,,,"127000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,403,0,403,347,56,185
"295101270002","15000US295101270002","Block Group 2, Census Tract 1270, St. Louis city, Missouri","Block Group 2, Census Tract 1270, St. Louis city, Missouri","mo","150","00","ACSSF","0010214",,,,,"29","510",,,,"127000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,193,0,193,131,62,938
"295101271001","15000US295101271001","Block Group 1, Census Tract 1271, St. Louis city, Missouri","Block Group 1, Census Tract 1271, St. Louis city, Missouri","mo","150","00","ACSSF","0010215",,,,,"29","510",,,,"127100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,149,0,149,113,36,250
